"","Player","POS","FPTS","RV","VOR"
"45","Terrelle Pryor (SEA)","QB",19,310.18,-291.18
"46","Zach Mettenberger (TEN)","QB",18,310.18,-292.18
"47","Bruce Gradkowski (PIT)","QB",17.2,310.18,-292.98
"48","Jimmy Clausen (CHI)","QB",16.2,310.18,-293.98
"49","Josh Freeman","QB",16,310.18,-294.18
"50","Matt Flynn (GB)","QB",13.6,310.18,-296.58
"51","Brandon Weeden (DAL)","QB",13.2,310.18,-296.98
"52","Mark Sanchez (PHI)","QB",11.8,310.18,-298.38
"53","Jordan Palmer (CHI)","QB",11.2,310.18,-298.98
"54","Derek Anderson (CAR)","QB",10.1,310.18,-300.08
"55","Thaddeus Lewis (BUF)","QB",8.9,310.18,-301.28
"56","Blaine Gabbert (SF)","QB",7.3,310.18,-302.88
"57","Matt Moore (MIA)","QB",7.1,310.18,-303.08
"58","Chase Daniel (KC)","QB",6.8,310.18,-303.38
"59","Jason Campbell (CIN)","QB",6.7,310.18,-303.48
"60","Tyrod Taylor (BAL)","QB",5.7,310.18,-304.48
"61","Tarvaris Jackson (SEA)","QB",3.6,310.18,-306.58
"62","Brock Osweiler (DEN)","QB",2.9,310.18,-307.28
"63","Christian Ponder (MIN)","QB",2.2,310.18,-307.98
"64","Matt Hasselbeck (IND)","QB",2.1,310.18,-308.08
"65","Drew Stanton (ARI)","QB",0.8,310.18,-309.38
"66","Taylor Yates (ATL)","QB",0.5,310.18,-309.68
"67","Ryan Mallett (NE)","QB",0.5,310.18,-309.68
"68","Matt McGloin (OAK)","QB",0,310.18,-310.18
"69","Matt Barkley (PHI)","QB",0,310.18,-310.18
"70","Jimmy Garoppolo (NE)","QB",0,310.18,-310.18
"71","Dan Orlovsky (DET)","QB",0,310.18,-310.18
"72","Colt McCoy (WAS)","QB",0,310.18,-310.18
"73","Logan Thomas (ARI)","QB",0,310.18,-310.18
"74","Brad Sorensen (SD)","QB",0,310.18,-310.18
"75","Ryan Nassib (NYG)","QB",0,310.18,-310.18
"76","Kellen Clemens (SD)","QB",0,310.18,-310.18
"77","AJ McCarron (CIN)","QB",0,310.18,-310.18
"78","Luke McCown (NO)","QB",0,310.18,-310.18
"79","Aaron Murray (KC)","QB",0,310.18,-310.18
"80","Landry Jones (PIT)","QB",0,310.18,-310.18
"81","Tyler Bray (KC)","QB",0,310.18,-310.18
